objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"Anachrony","185343","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43948784","7.43606","8.19925","3.8663","93","5093","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Android: Netrunner","124742","9","80","0","1","0","0","0","0","0","0","0","1","","PnP","","","","32175804","7.76902","7.95147","3.3534","34","34212","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Android: Netrunner – 23 Seconds","201553","0","","0","0","0","0","0","0","1","0","0","3","","","","","","37257504","5.64328","8.18051","0","0","732","thing","Android: Netrunner – 23 Seconds","2","2","45","45","45","2016","2","2","","","","","","","","expansion","","","","","","","","","Fantasy Flight Games","English","2016","English first edition"
"Android: Netrunner – A Study in Static","135103","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069280","6.50622","8.12282","3.1765","0","5001","thing","Android: Netrunner – A Study in Static","2","2","45","45","45","2013","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","Fantasy Flight Games","English","2013","English first edition"
"Android: Netrunner – All That Remains","160683","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069295","5.9346","8.26548","3.5556","0","2042","thing","Android: Netrunner – All That Remains","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Blood Money","203186","0","","0","0","0","0","0","0","1","0","0","3","","","","","","37257506","5.64175","8.21017","0","0","693","thing","Android: Netrunner – Blood Money","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Breaker Bay","172404","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069303","5.82957","8.28252","3.6667","0","1632","thing","Android: Netrunner – Breaker Bay","2","2","45","45","45","2015","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Business First","182375","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069313","5.66705","8.03973","3.3333","0","942","thing","Android: Netrunner – Business First","2","2","45","0","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Chrome City","172620","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069305","5.79589","8.20692","3","0","1484","thing","Android: Netrunner – Chrome City","2","2","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Creation and Control","139596","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116658","6.73339","8.27461","3.2128","0","5822","thing","Android: Netrunner – Creation and Control","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Cyber Exodus","133500","0","","0","0","0","0","0","0","1","0","0","3","","","","","","35069274","6.63972","8.22962","3.3056","0","5648","thing","Android: Netrunner – Cyber Exodus","2","2","45","45","45","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Data and Destiny","178866","8","","0","0","0","0","0","0","1","0","0","1","","","","","","35069290","5.96128","8.46082","3","0","1941","thing","Android: Netrunner – Data and Destiny","2","2","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Democracy and Dogma","186860","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069315","5.66215","8.25231","0","0","914","thing","Android: Netrunner – Democracy and Dogma","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Double Time","149085","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069285","6.12678","8.22074","3.5882","0","2869","thing","Android: Netrunner – Double Time","2","2","45","45","45","2014","2","2","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Escalation","206988","0","","0","0","0","0","0","0","1","0","0","1","","","","","","43871818","5.63084","8.28679","0","0","627","thing","Android: Netrunner – Escalation","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
